Month,01 Bayamon entradas,02 Deportivo entradas,03 Jardines entradas,04 Torrimar entradas,05 Martinez Nadal entradas,06 Las Lomas entradas,07 San Francisco entradas,08 Centro Medico entradas,09 Cupey entradas,10 Rio Piedras entradas,11 Universidad entradas,12 Piñero entradas,13 Domenech entradas,14 Roosevelt entradas,15 Hato Rey entradas,16 Sagrado Corazon entradas,Total entradas ,01 Bayamon Salidas,02 Deportivo Salidas,03 Jardines Salidas,04 Torrimar Salidas,05 Martinez Nadal Salidas,06 Las Lomas Salidas,07 San Francisco Salidas,08 Centro Medico Salidas,09 Cupey Salidas,10 Rio Piedras Salidas,11 Universidad Salidas,12 Piñero Salidas,13 Domenech Salidas,14 Roosevelt Salidas,15 Hato Rey Salidas,16 Sagrado Corazon Salidas,Total Salidas 
5/1/2019,"56,263","44,232","7,817","8,891","27,917","12,603","19,482","33,597","21,997","36,684","26,257","18,040","14,671","23,473","21,923","59,345","433,192","43,002","27,907","6,920","8,976","27,854","11,819","14,800","30,422","13,892","30,309","16,636","14,903","12,329","15,773","17,394","64,473","357,409"
6/1/2019,"45,535","36,259","6,103","7,857","20,909","10,682","16,055","29,517","17,717","31,352","19,686","15,320","13,637","18,197","16,707","51,060","356,593","34,879","24,765","5,507","7,795","21,603","9,521","12,625","25,205","14,379","25,956","12,240","12,966","11,263","12,198","13,550","56,600","301,052"
7/1/2019,"41,271","35,894","6,592","8,497","23,204","10,209","17,367","28,581","17,779","30,346","15,649","15,755","14,157","28,588","14,534","52,496","360,919","30,073","21,984","5,381","8,003","20,661","8,941","13,094","24,937","17,047","26,610","9,314","12,726","9,925","11,066","11,326","64,467","295,555"
8/1/2019,"53,609","41,761","7,352","9,323","27,710","11,702","18,232","31,990","24,388","34,361","37,313","17,346","14,009","23,578","23,394","57,412","433,480","39,060","25,118","6,388","9,072","25,695","10,576","14,079","28,815","23,812","26,923","18,030","14,365","10,726","16,096","16,411","67,251","352,417"
9/1/2019,"56,368","45,638","7,404","8,915","30,111","11,945","17,850","31,753","26,780","32,564","42,278","17,058","10,055","24,893","19,145","60,180","442,937","38,425","26,324","6,471","8,915","27,757","10,754","14,335","28,400","26,377","27,310","18,660","14,025","8,049","16,650","14,400","63,926","350,778"
10/1/2019,"65,821","54,415","8,689","9,969","34,451","13,434","19,971","36,549","30,182","37,324","49,110","19,394","15,821","28,116","24,778","68,284","516,308","42,641","30,043","6,811","9,708","31,474","11,926","15,756","32,640","29,426","31,518","20,987","15,492","10,604","17,699","18,689","68,823","394,237"
11/1/2019,"52,055","44,437","7,235","8,801","27,502","11,147","17,165","30,280","21,760","32,699","40,237","16,051","13,349","22,603","20,908","56,404","422,957","35,205","24,218","5,294","8,633","25,497","9,890","13,047","25,731","21,645","27,392","17,654","12,283","9,038","14,736","14,974","56,011","321,248"
12/1/2019,"46,782","42,828","7,235","8,959","27,529","11,009","18,675","28,649","20,719","32,018","24,090","15,830","12,180","22,366","34,431","53,074","406,374","33,868","22,004","5,277","7,911","23,970","9,703","12,672","25,105","19,526","25,398","11,931","11,955","8,958","11,665","22,255","51,156","303,354"
1/1/2020,"36,551","31,986","5,738","7,201","19,907","9,159","14,844","24,914","17,890","26,210","17,723","13,797","12,139","18,509","12,274","53,028","321,870","26,879","17,931","4,197","6,715","18,755","8,264","11,186","21,562","14,709","21,200","8,798","10,321","8,277","9,025","8,277","55,352","251,448"
2/1/2020,"51,338","45,159","7,409","8,822","26,791","11,495","17,728","30,551","23,124","31,702","38,767","17,032","14,168","22,025","22,104","57,534","425,749",33440,21189,5503,8443,22847,10158,9760,27110,21480,25145,15008,12802,9228,9640,12413,55385,"299,551"
3/1/2020,"24,478","20,641","3,697","4,249","12,984","5,630","8,590","14,451","11,294","16,094","17,700","8,168","6,640","11,205","7,677","27,470","200,968","15,737","9,221","2,584","4,004","11,181","5,099","4,492","13,474","10,813","12,878","7,030","6,063","4,011","4,409","5,012","27,441","143,449"
4/1/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/1/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/1/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2020,"2,800","2,511",826,639,"1,863","1,344","1,867","2,799","1,118","4,191",910,"1,421","1,585","1,250",880,"5,737","31,741","2,780","2,471",705,605,"1,948","1,195","1,415","2,592","1,195","3,732",743,"1,281","1,328",816,728,"7,150","30,684"
8/1/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/1/2020,"1,318","1,242",406,359,846,560,765,"1,005",542,"1,986",432,690,749,599,360,"2,455","14,314",1340,611,344,326,909,532,607,930,553,1744,353,686,681,440,317,2517,"12,890"
11/1/2020,"6,088","5,195","1,953","1,874","3,561","2,889","3,798","4,318","2,632","8,863","2,264","3,090","3,195","2,820","1,848","11,739","66,127",5914,5028,1598,1773,3918,2632,3019,4257,2559,7453,1666,2949,2612,1918,1438,12450,"61,184"
12/1/2020,"7,055","6,121","2,120","2,360","4,337","3,370","4,416","4,974","3,147","10,005","2,595","3,559","3,690","3,440","2,112","13,642","76,943",6775,5823,1721,2182,4774,3030,3334,4714,3092,8419,1774,3465,3125,2162,1537,13876,"69,803"
1/1/2021,"7,512","6,675","2,018","2,169","4,447","3,294","4,518","5,402","3,256","9,986","2,735","3,837","3,825","3,349","2,178","14,583","79,784","5,113","5,882","1,696","2,151","4,748","3,020","3,308","4,929","3,464","8,071","2,086","3,456","3,313","2,138","1,653","14,184","69,212"
2/1/2021,"8,794","7,877","2,455","2,541","5,133","3,551","5,388","6,801","4,010","11,383","3,412","4,572","4,761","4,134","2,719","17,585","95,116","8,563","6,851","2,083","2,426","5,494","3,304","3,804","6,013","4,039","9,265","2,687","4,090","3,868","2,540","2,087","16,675","83,789"
